# sresa1b_miroc3-2-medres_1_Prcp,
,Southern Rockies
TIMESTEP,MEAN(mm/d)
1950-01-16T00:00:00Z,0.50791365
1950-02-16T00:00:00Z,1.1637836
1950-03-15T00:00:00Z,1.5200373
1950-04-15T00:00:00Z,0.9035329
1950-05-15T00:00:00Z,2.7114224
1950-06-15T00:00:00Z,1.2138337
1950-07-15T00:00:00Z,1.8201413
1950-08-15T00:00:00Z,1.9355205
1950-09-15T00:00:00Z,1.2427995
1950-10-15T00:00:00Z,1.7298219
1950-11-15T00:00:00Z,0.7616521
1950-12-15T00:00:00Z,1.3762946
1951-01-16T00:00:00Z,1.926431
1951-02-16T00:00:00Z,0.75113285
1951-03-15T00:00:00Z,2.0714915
1951-04-15T00:00:00Z,1.3540086
1951-05-15T00:00:00Z,1.1748657
1951-06-15T00:00:00Z,0.70832926
1951-07-15T00:00:00Z,0.6066732
1951-08-15T00:00:00Z,2.2326663
1951-09-15T00:00:00Z,1.3484411
1951-10-15T00:00:00Z,1.0849696
1951-11-15T00:00:00Z,1.2346005
1951-12-15T00:00:00Z,1.5719874
1952-01-16T00:00:00Z,1.0043608
1952-02-16T00:00:00Z,0.799601
1952-03-15T00:00:00Z,0.8903895
1952-04-15T00:00:00Z,1.0126891
1952-05-15T00:00:00Z,1.0332173
1952-06-15T00:00:00Z,0.3055281
1952-07-15T00:00:00Z,1.2278233
1952-08-15T00:00:00Z,2.3648312
1952-09-15T00:00:00Z,0.84563655
1952-10-15T00:00:00Z,0.7805144
1952-11-15T00:00:00Z,0.74600774
1952-12-15T00:00:00Z,1.8938963
1953-01-16T00:00:00Z,0.37453046
1953-02-16T00:00:00Z,0.90910023
1953-03-15T00:00:00Z,0.57382685
1953-04-15T00:00:00Z,0.32897133
1953-05-15T00:00:00Z,1.0392591
1953-06-15T00:00:00Z,0.6090736
1953-07-15T00:00:00Z,1.6659479
1953-08-15T00:00:00Z,1.7595431
1953-09-15T00:00:00Z,0.97202027
1953-10-15T00:00:00Z,1.2049614
1953-11-15T00:00:00Z,1.2650232
1953-12-15T00:00:00Z,0.18143122
1954-01-16T00:00:00Z,1.4236926
1954-02-16T00:00:00Z,0.54274595
1954-03-15T00:00:00Z,1.1718087
1954-04-15T00:00:00Z,0.97593313
1954-05-15T00:00:00Z,1.2313292
1954-06-15T00:00:00Z,0.35841385
1954-07-15T00:00:00Z,1.1582062
1954-08-15T00:00:00Z,0.6972318
1954-09-15T00:00:00Z,0.31423888
1954-10-15T00:00:00Z,0.54869604
1954-11-15T00:00:00Z,0.23436746
1954-12-15T00:00:00Z,0.692269
1955-01-16T00:00:00Z,1.0441535
1955-02-16T00:00:00Z,2.5049129
1955-03-15T00:00:00Z,1.2356869
1955-04-15T00:00:00Z,0.79057026
1955-05-15T00:00:00Z,0.6486966
1955-06-15T00:00:00Z,0.7593808
1955-07-15T00:00:00Z,1.2867692
1955-08-15T00:00:00Z,1.3937851
1955-09-15T00:00:00Z,0.7364585
1955-10-15T00:00:00Z,1.7977793
1955-11-15T00:00:00Z,1.4031289
1955-12-15T00:00:00Z,1.8746933
1956-01-16T00:00:00Z,0.6165758
1956-02-16T00:00:00Z,1.8101376
1956-03-15T00:00:00Z,0.6205175
1956-04-15T00:00:00Z,1.1113416
1956-05-15T00:00:00Z,0.7367219
1956-06-15T00:00:00Z,0.3834043
1956-07-15T00:00:00Z,1.0531038
1956-08-15T00:00:00Z,2.0508082
1956-09-15T00:00:00Z,1.5557324
1956-10-15T00:00:00Z,0.62414557
1956-11-15T00:00:00Z,0.8844249
1956-12-15T00:00:00Z,0.7264051
1957-01-16T00:00:00Z,1.5307913
1957-02-16T00:00:00Z,0.7146556
1957-03-15T00:00:00Z,0.6956437
1957-04-15T00:00:00Z,0.73565274
1957-05-15T00:00:00Z,1.041219
1957-06-15T00:00:00Z,1.3282148
1957-07-15T00:00:00Z,0.8973117
1957-08-15T00:00:00Z,0.9184814
1957-09-15T00:00:00Z,0.97603416
1957-10-15T00:00:00Z,1.7534103
1957-11-15T00:00:00Z,0.45432684
1957-12-15T00:00:00Z,1.1817745
1958-01-16T00:00:00Z,2.1865504
1958-02-16T00:00:00Z,1.1486278
1958-03-15T00:00:00Z,1.1129774
1958-04-15T00:00:00Z,0.88225114
1958-05-15T00:00:00Z,1.2944262
1958-06-15T00:00:00Z,0.6102345
1958-07-15T00:00:00Z,1.0739948
1958-08-15T00:00:00Z,1.6416311
1958-09-15T00:00:00Z,1.1723728
1958-10-15T00:00:00Z,1.2511263
1958-11-15T00:00:00Z,1.3475844
1958-12-15T00:00:00Z,1.6753477
1959-01-16T00:00:00Z,1.0317671
1959-02-16T00:00:00Z,1.6561681
1959-03-15T00:00:00Z,1.9108591
1959-04-15T00:00:00Z,2.2461057
1959-05-15T00:00:00Z,1.1261435
1959-06-15T00:00:00Z,0.4890803
1959-07-15T00:00:00Z,1.3017901
1959-08-15T00:00:00Z,0.92144686
1959-09-15T00:00:00Z,0.90009505
1959-10-15T00:00:00Z,0.24512382
1959-11-15T00:00:00Z,0.55236673
1959-12-15T00:00:00Z,1.0059682
1960-01-16T00:00:00Z,0.54354376
1960-02-16T00:00:00Z,1.1470731
1960-03-15T00:00:00Z,0.95940864
1960-04-15T00:00:00Z,1.117078
1960-05-15T00:00:00Z,0.85930127
1960-06-15T00:00:00Z,0.4656316
1960-07-15T00:00:00Z,0.8895962
1960-08-15T00:00:00Z,1.4540949
1960-09-15T00:00:00Z,1.6711874
1960-10-15T00:00:00Z,0.5831754
1960-11-15T00:00:00Z,1.0842984
1960-12-15T00:00:00Z,1.9556689
