# sresa2_mpi-echam5_1_Prcp,
,Southern Rockies
TIMESTEP,MEAN(mm/d)
1950-01-16T00:00:00Z,0.972319
1950-02-16T00:00:00Z,0.40638134
1950-03-15T00:00:00Z,1.7508258
1950-04-15T00:00:00Z,1.0142365
1950-05-15T00:00:00Z,0.7614226
1950-06-15T00:00:00Z,0.50331396
1950-07-15T00:00:00Z,1.6564196
1950-08-15T00:00:00Z,1.9489694
1950-09-15T00:00:00Z,1.1937934
1950-10-15T00:00:00Z,2.2027788
1950-11-15T00:00:00Z,1.1239998
1950-12-15T00:00:00Z,0.97132313
1951-01-16T00:00:00Z,0.43642652
1951-02-16T00:00:00Z,0.6894728
1951-03-15T00:00:00Z,1.2974629
1951-04-15T00:00:00Z,0.77658504
1951-05-15T00:00:00Z,1.3539796
1951-06-15T00:00:00Z,0.47919548
1951-07-15T00:00:00Z,1.1638467
1951-08-15T00:00:00Z,1.9401098
1951-09-15T00:00:00Z,2.2286067
1951-10-15T00:00:00Z,0.39022723
1951-11-15T00:00:00Z,0.9755424
1951-12-15T00:00:00Z,0.4482552
1952-01-16T00:00:00Z,0.4074537
1952-02-16T00:00:00Z,0.2766657
1952-03-15T00:00:00Z,0.5051855
1952-04-15T00:00:00Z,0.67511964
1952-05-15T00:00:00Z,0.7367145
1952-06-15T00:00:00Z,0.8536793
1952-07-15T00:00:00Z,1.4846289
1952-08-15T00:00:00Z,1.09232
1952-09-15T00:00:00Z,1.6206262
1952-10-15T00:00:00Z,0.506229
1952-11-15T00:00:00Z,0.99219924
1952-12-15T00:00:00Z,0.9179242
1953-01-16T00:00:00Z,0.8573159
1953-02-16T00:00:00Z,0.9922034
1953-03-15T00:00:00Z,0.7367958
1953-04-15T00:00:00Z,1.1984069
1953-05-15T00:00:00Z,1.6084751
1953-06-15T00:00:00Z,0.4870619
1953-07-15T00:00:00Z,0.8774353
1953-08-15T00:00:00Z,1.5918405
1953-09-15T00:00:00Z,0.344306
1953-10-15T00:00:00Z,0.9402765
1953-11-15T00:00:00Z,1.0044416
1953-12-15T00:00:00Z,1.3501575
1954-01-16T00:00:00Z,0.287731
1954-02-16T00:00:00Z,1.0149112
1954-03-15T00:00:00Z,1.0837576
1954-04-15T00:00:00Z,0.991412
1954-05-15T00:00:00Z,0.8642598
1954-06-15T00:00:00Z,0.54154974
1954-07-15T00:00:00Z,1.5336597
1954-08-15T00:00:00Z,1.8118868
1954-09-15T00:00:00Z,1.1919909
1954-10-15T00:00:00Z,0.9702879
1954-11-15T00:00:00Z,0.9146378
1954-12-15T00:00:00Z,0.7979194
1955-01-16T00:00:00Z,0.9569729
1955-02-16T00:00:00Z,2.219834
1955-03-15T00:00:00Z,0.7249293
1955-04-15T00:00:00Z,0.69609493
1955-05-15T00:00:00Z,0.6538606
1955-06-15T00:00:00Z,0.61864686
1955-07-15T00:00:00Z,0.9417983
1955-08-15T00:00:00Z,1.31119
1955-09-15T00:00:00Z,0.61064565
1955-10-15T00:00:00Z,1.4748254
1955-11-15T00:00:00Z,0.67471784
1955-12-15T00:00:00Z,1.7993662
1956-01-16T00:00:00Z,0.47148395
1956-02-16T00:00:00Z,1.0357662
1956-03-15T00:00:00Z,1.8298858
1956-04-15T00:00:00Z,0.44698006
1956-05-15T00:00:00Z,0.23386596
1956-06-15T00:00:00Z,0.40421554
1956-07-15T00:00:00Z,2.265957
1956-08-15T00:00:00Z,2.0235744
1956-09-15T00:00:00Z,1.7164556
1956-10-15T00:00:00Z,0.44009042
1956-11-15T00:00:00Z,1.1954601
1956-12-15T00:00:00Z,0.69043183
1957-01-16T00:00:00Z,1.1633704
1957-02-16T00:00:00Z,1.1452131
1957-03-15T00:00:00Z,1.7481074
1957-04-15T00:00:00Z,0.5949254
1957-05-15T00:00:00Z,0.9494122
1957-06-15T00:00:00Z,0.7779531
1957-07-15T00:00:00Z,1.4461732
1957-08-15T00:00:00Z,1.0327513
1957-09-15T00:00:00Z,1.1820959
1957-10-15T00:00:00Z,2.1520298
1957-11-15T00:00:00Z,1.5483065
1957-12-15T00:00:00Z,2.2708545
1958-01-16T00:00:00Z,1.2455816
1958-02-16T00:00:00Z,2.1785026
1958-03-15T00:00:00Z,1.492477
1958-04-15T00:00:00Z,2.0203936
1958-05-15T00:00:00Z,1.7684877
1958-06-15T00:00:00Z,1.0698333
1958-07-15T00:00:00Z,1.0147473
1958-08-15T00:00:00Z,2.5566008
1958-09-15T00:00:00Z,0.8661551
1958-10-15T00:00:00Z,1.2452979
1958-11-15T00:00:00Z,1.179267
1958-12-15T00:00:00Z,0.9206727
1959-01-16T00:00:00Z,0.5657003
1959-02-16T00:00:00Z,0.74343663
1959-03-15T00:00:00Z,0.57708883
1959-04-15T00:00:00Z,1.5917665
1959-05-15T00:00:00Z,1.0084099
1959-06-15T00:00:00Z,1.482151
1959-07-15T00:00:00Z,1.1166719
1959-08-15T00:00:00Z,2.0528185
1959-09-15T00:00:00Z,0.93284935
1959-10-15T00:00:00Z,1.6050087
1959-11-15T00:00:00Z,2.2840254
