# sresb1_ncar-pcm1_2_Prcp,
,Southern Rockies
TIMESTEP,MEAN(mm/d)
1950-01-16T00:00:00Z,0.69512504
1950-02-16T00:00:00Z,0.35326463
1950-03-15T00:00:00Z,0.4353055
1950-04-15T00:00:00Z,1.149146
1950-05-15T00:00:00Z,0.8284124
1950-06-15T00:00:00Z,0.60711956
1950-07-15T00:00:00Z,1.6336517
1950-08-15T00:00:00Z,1.1891211
1950-09-15T00:00:00Z,0.42106795
1950-10-15T00:00:00Z,2.5794184
1950-11-15T00:00:00Z,1.0106722
1950-12-15T00:00:00Z,0.95675313
1951-01-16T00:00:00Z,0.7537446
1951-02-16T00:00:00Z,1.099702
1951-03-15T00:00:00Z,1.945268
1951-04-15T00:00:00Z,1.3770992
1951-05-15T00:00:00Z,0.7783472
1951-06-15T00:00:00Z,1.0054605
1951-07-15T00:00:00Z,1.8575698
1951-08-15T00:00:00Z,1.496796
1951-09-15T00:00:00Z,1.6655105
1951-10-15T00:00:00Z,0.17493474
1951-11-15T00:00:00Z,0.40520954
1951-12-15T00:00:00Z,0.75953776
1952-01-16T00:00:00Z,1.0463629
1952-02-16T00:00:00Z,0.953767
1952-03-15T00:00:00Z,2.088929
1952-04-15T00:00:00Z,0.53423065
1952-05-15T00:00:00Z,1.4717764
1952-06-15T00:00:00Z,1.4909812
1952-07-15T00:00:00Z,2.2056527
1952-08-15T00:00:00Z,1.3864665
1952-09-15T00:00:00Z,0.8940913
1952-10-15T00:00:00Z,0.746458
1952-11-15T00:00:00Z,0.8858466
1952-12-15T00:00:00Z,1.8761715
1953-01-16T00:00:00Z,0.24009894
1953-02-16T00:00:00Z,0.5116019
1953-03-15T00:00:00Z,0.76181287
1953-04-15T00:00:00Z,1.100342
1953-05-15T00:00:00Z,0.8847587
1953-06-15T00:00:00Z,0.5078411
1953-07-15T00:00:00Z,1.089
1953-08-15T00:00:00Z,1.7161456
1953-09-15T00:00:00Z,0.36267743
1953-10-15T00:00:00Z,1.533646
1953-11-15T00:00:00Z,2.0307052
1953-12-15T00:00:00Z,0.51830775
1954-01-16T00:00:00Z,0.66813415
1954-02-16T00:00:00Z,1.2825667
1954-03-15T00:00:00Z,0.7707379
1954-04-15T00:00:00Z,1.1708423
1954-05-15T00:00:00Z,0.36089122
1954-06-15T00:00:00Z,0.53399694
1954-07-15T00:00:00Z,1.3253344
1954-08-15T00:00:00Z,1.6949164
1954-09-15T00:00:00Z,0.7452881
1954-10-15T00:00:00Z,2.1114843
1954-11-15T00:00:00Z,0.63789576
1954-12-15T00:00:00Z,0.34638494
1955-01-16T00:00:00Z,0.54245716
1955-02-16T00:00:00Z,0.75128615
1955-03-15T00:00:00Z,1.1098771
1955-04-15T00:00:00Z,0.87544096
1955-05-15T00:00:00Z,0.72494197
1955-06-15T00:00:00Z,0.67412823
1955-07-15T00:00:00Z,0.83023155
1955-08-15T00:00:00Z,0.9742002
1955-09-15T00:00:00Z,1.0172178
1955-10-15T00:00:00Z,0.60056156
1955-11-15T00:00:00Z,0.869421
1955-12-15T00:00:00Z,0.5544099
1956-01-16T00:00:00Z,0.9322041
1956-02-16T00:00:00Z,0.25469717
1956-03-15T00:00:00Z,1.2899683
1956-04-15T00:00:00Z,2.5858169
1956-05-15T00:00:00Z,1.6313864
1956-06-15T00:00:00Z,0.5593454
1956-07-15T00:00:00Z,1.618564
1956-08-15T00:00:00Z,1.0806178
1956-09-15T00:00:00Z,0.8351438
1956-10-15T00:00:00Z,0.6839914
1956-11-15T00:00:00Z,1.7631159
1956-12-15T00:00:00Z,0.652941
1957-01-16T00:00:00Z,1.6812947
1957-02-16T00:00:00Z,0.6840078
1957-03-15T00:00:00Z,2.0936894
1957-04-15T00:00:00Z,1.5946301
1957-05-15T00:00:00Z,1.8363763
1957-06-15T00:00:00Z,0.9073345
1957-07-15T00:00:00Z,1.5818307
1957-08-15T00:00:00Z,1.1034291
1957-09-15T00:00:00Z,0.9496441
1957-10-15T00:00:00Z,1.4309866
1957-11-15T00:00:00Z,0.6838216
1957-12-15T00:00:00Z,2.2712166
1958-01-16T00:00:00Z,1.9430587
1958-02-16T00:00:00Z,2.1684637
1958-03-15T00:00:00Z,0.87462443
